Time;Xpos;Ypos;Zpos;Roll;Pitch;Yaw
J0:19:15:51:630;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:52:036;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:52:436;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:52:836;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:53:236;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:53:635;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:54:042;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:54:435;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:54:835;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:55:234;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:55:634;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:56:041;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:56:434;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:56:833;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:57:233;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:57:633;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:58:039;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:58:439;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:58:832;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:59:232;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:59:632;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:00:038;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:00:438;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:00:838;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:01:231;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:01:631;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:02:037;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:02:437;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:02:837;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:03:236;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:03:630;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:04:036;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:04:436;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:04:835;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:05:235;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:05:635;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:06:041;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:06:435;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:06:834;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:07:234;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:07:634;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:08:040;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:08:440;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:08:833;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:09:233;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:09:633;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:10:039;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:10:439;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:10:839;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:11:232;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:11:632;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:12:038;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:12:438;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:12:837;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:13:231;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:13:630;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:14:037;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:14:436;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:14:836;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:15:236;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:15:629;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:16:036;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:16:435;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:16:835;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:17:235;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:17:635;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:18:041;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:18:434;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:18:834;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:19:234;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:19:633;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:20:040;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:20:440;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:20:833;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:21:233;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:21:632;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:22:039;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:22:438;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:22:838;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:23:231;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:23:631;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:24:037;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:24:437;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:24:837;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:25:237;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:25:630;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:26:036;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:26:436;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:26:836;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:27:236;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:27:635;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:28:042;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:28:435;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:28:835;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:29:234;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:29:634;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:30:041;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:30:434;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:30:834;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:31:233;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:31:633;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:32:039;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:32:439;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:32:832;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:33:232;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:33:632;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:34:038;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:34:438;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:34:838;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:35:231;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:35:631;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:36:037;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:36:437;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:36:837;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:16:37:236;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
